T,Time,Avg,Acceleration
1,307,60,1
2,341,66.8,0.898204
3,326,63.6,0.943396
4,303,59,1.01695
5,293,57.2,1.04895
6,295,57.6,1.04167
7,297,58.2,1.03093
8,292,57.2,1.04895
9,295,57.6,1.04167
10,296,57.6,1.04167
11,294,57,1.05263
12,295,57.4,1.0453
13,290,57,1.05263
14,297,58.2,1.03093
15,290,56.8,1.05634
16,291,56.8,1.05634
